"Category","File","Objective","Context","Line"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton_obj.scar","OBJ_Boss","definition","309"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton_waves.scar","OBJ_Boss","usage","987"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1273\obj_xiangyang2_phase1.scar","OBJ_BreachCity","usage","44"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1273\obj_xiangyang2_phase2.scar","OBJ_BreachCity","definition","16"
"campaign","scenarios\campaign\hundred\hun_chp1_combat30\obj_combat.scar","OBJ_Break1","usage","59"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_objectives.scar","OBJ_BringSpy","usage","22"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_transition.scar","OBJ_BringSpy","usage","17"
"campaign","scenarios\historical_challenges\challenge_agincourt\challenge_agincourt_obj.scar","OBJ_BronzeMedal","definition","88"
"campaign","scenarios\historical_challenges\challenge_montgisard\challenge_montgisard_objectives.scar","OBJ_BronzeMedal","definition","147"
"campaign","scenarios\historical_challenges\challenge_montgisard\challenge_montgisard.scar","OBJ_BronzeMedal","usage","1867"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton_obj.scar","OBJ_BronzeMedal","definition","47"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton.scar","OBJ_BronzeMedal","usage","846"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_objectives.scar","OBJ_BufferFinalWave","usage","294"
"campaign","scenarios\campaign\hundred\hun_chp2_pontvallain\hun_chp2_pontvallain_objectives.scar","OBJ_Build","definition","18"
"campaign","scenarios\campaign\hundred\hun_chp2_pontvallain\hun_chp2_pontvallain.scar","OBJ_Build","usage","378"
"gameplay","rogue\rogue_objectives.scar","OBJ_BUILD_BONFIRE","definition","488"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\obj_buildcabins.scar","OBJ_BuildCabins","definition","13"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\obj_paythemongols.scar","OBJ_BuildCabins","usage","241"
"campaign","scenarios\campaign\russia\gdm_chp1_moscow\obj_builddefences.scar","OBJ_BuildDefences","definition","9"
"campaign","scenarios\campaign\russia\gdm_chp1_moscow\obj_mongolattacks.scar","OBJ_BuildDefences","usage","251"
"campaign","scenarios\campaign\salisbury\sal_chp3_brokenpromise\obj_build.scar","OBJ_BuildFleet","usage","54"
"campaign","scenarios\campaign\salisbury\sal_chp3_brokenpromise\obj_fleet.scar","OBJ_BuildFleet","definition","7"
"campaign","scenarios\campaign\salisbury\sal_chp3_brokenpromise\sal_chp3_brokenpromise.scar","OBJ_BuildFleet","usage","339"
"campaign","scenarios\campaign\hundred\hun_chp1_combat30\obj_approach.scar","OBJ_BuildForce","usage","182"
"campaign","scenarios\campaign\hundred\hun_chp1_combat30\obj_preround.scar","OBJ_BuildForce","definition","8"
"campaign","scenarios\campaign\salisbury\sal_chp3_brokenpromise\obj_build.scar","OBJ_BuildInvasionArmy","usage","14"
"campaign","scenarios\campaign\salisbury\sal_chp3_brokenpromise\obj_build.scar","OBJ_BuildInvasionForce","definition","5"
"campaign","scenarios\campaign\salisbury\sal_chp3_brokenpromise\obj_gather.scar","OBJ_BuildInvasionForce","usage","60"
"campaign","scenarios\campaign\salisbury\sal_chp2_township\obj_landmark.scar","OBJ_BuildLandmark","definition","3"
"campaign","scenarios\campaign\salisbury\sal_chp2_township\sal_chp2_township.scar","OBJ_BuildLandmark","usage","139"
"campaign","scenarios\campaign\salisbury\sal_chp2_womanswork\obj_grow.scar","OBJ_BuildLandmark","definition","63"
"campaign","scenarios\campaign\salisbury\sal_chp2_womanswork\obj_officials.scar","OBJ_BuildLandmark","usage","44"
"campaign","scenarios\campaign\angevin\ang_chp1_york\obj_strengthen.scar","OBJ_BuildStable","usage","8"
"campaign","scenarios\campaign\angevin\ang_chp1_york\obj_capture_locations.scar","OBJ_BuildSupport","usage","97"
"campaign","scenarios\campaign\angevin\ang_chp1_york\obj_strengthen.scar","OBJ_BuildSupport","definition","29"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_BuildUpStockpile","definition","222"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\gdm_chp2_tribute.scar","OBJ_BuySettlements","usage","442"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\obj_buysettlements.scar","OBJ_BuySettlements","definition","11"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\obj_paythemongols.scar","OBJ_BuySettlements","usage","82"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1267\mon_chp3_xiangyang_1267.scar","OBJ_CampUp","usage","956"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1267\obj_xiangyang1_phase2.scar","OBJ_CampUp","definition","19"
"campaign","scenarios\campaign\salisbury\sal_chp2_dinan\obj_capture.scar","OBJ_Capture","definition","8"
"campaign","scenarios\campaign\salisbury\sal_chp2_dinan\obj_expand.scar","OBJ_Capture","usage","208"
"campaign","scenarios\campaign\salisbury\sal_chp2_dinan\obj_upgrade.scar","OBJ_Capture","usage","52"
"campaign","scenarios\campaign\salisbury\sal_chp2_dinan\sal_chp2_dinan.scar","OBJ_Capture","usage","259"
"gameplay","rogue\rogue_objectives.scar","OBJ_CAPTURE_SIEGECAMP","definition","583"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus.scar","OBJ_CaptureControlPoints","usage","242"
"campaign","scenarios\ugc_map\obj_capture_town.scar","OBJ_CaptureEnemiesTown","definition","10"
"campaign","scenarios\ugc_map\ugc_map.scar","OBJ_CaptureEnemiesTown","usage","80"
"campaign","scenarios\campaign\angevin\ang_chp1_york\ang_chp1_york.scar","OBJ_CaptureFulford","usage","600"
"campaign","scenarios\campaign\angevin\ang_chp1_york\obj_capture_locations.scar","OBJ_CaptureFulford","usage","38"
"campaign","scenarios\campaign\angevin\ang_chp1_york\obj_develop.scar","OBJ_CaptureFulford","usage","67"
"campaign","scenarios\campaign\russia\gdm_chp4_smolensk\gdm_chp4_smolensk.scar","OBJ_CaptureKrasny","usage","643"
"campaign","scenarios\campaign\russia\gdm_chp4_smolensk\obj_besiegesmolensk.scar","OBJ_CaptureKrasny","definition","290"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_automated.scar","OBJ_CaptureLimassol","usage","128"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_objectives.scar","OBJ_CaptureLimassol","definition","242"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","OBJ_CaptureLimassol","usage","312"
"campaign","scenarios\campaign\angevin\ang_chp1_york\ang_chp1_york.scar","OBJ_CaptureMiddlethorpe","usage","265"
"campaign","scenarios\campaign\angevin\ang_chp1_york\obj_capture_locations.scar","OBJ_CaptureMiddlethorpe","definition","9"
"campaign","scenarios\campaign\russia\gdm_chp4_smolensk\obj_surrenderui.scar","OBJ_CaptureSmolensk","usage","45"
"campaign","scenarios\campaign\hundred\hun_chp4_rouen\hun_chp4_rouen.scar","OBJ_CaptureUniTown","usage","318"
"campaign","scenarios\campaign\hundred\hun_chp4_rouen\obj_uni_capture.scar","OBJ_CaptureUniTown","definition","7"
"campaign","scenarios\campaign\angevin\ang_chp2_bayeux\ang_chp2_bayeux.scar","OBJ_CaptureVillage","usage","947"
"campaign","scenarios\campaign\angevin\ang_chp2_bayeux\obj_capturewood.scar","OBJ_CaptureVillage","definition","9"
"campaign","scenarios\campaign\angevin\ang_chp4_rochester\ang_chp4_rochester.scar","OBJ_CaptureVillage","usage","302"
"campaign","scenarios\campaign\angevin\ang_chp4_rochester\obj_capturevillage.scar","OBJ_CaptureVillage","definition","8"
"campaign","scenarios\campaign\angevin\ang_chp4_rochester\obj_destroyrochester.scar","OBJ_CaptureVillage","usage","68"
"campaign","scenarios\campaign\russia\gdm_chp4_smolensk\gdm_chp4_smolensk.scar","OBJ_CaptureVillages","usage","277"
"campaign","scenarios\campaign\russia\gdm_chp4_smolensk\obj_capturevillages.scar","OBJ_CaptureVillages","definition","6"
"campaign","scenarios\campaign\salisbury\sal_chp2_dinan\obj_expand.scar","OBJ_Cavalry","usage","91"
"campaign","scenarios\campaign\mongol\mon_chp3_lumen_shan\mon_chp3_lumen_shan_automated.scar","OBJ_ClaimArea","usage","126"
"campaign","scenarios\campaign\mongol\mon_chp3_lumen_shan\mon_chp3_lumen_shan.scar","OBJ_ClaimArea","usage","397"
"campaign","scenarios\campaign\mongol\mon_chp3_lumen_shan\obj_lumen_phase1.scar","OBJ_ClaimArea","definition","16"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","OBJ_ClearCamps","usage","308"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","OBJ_ClearCamps","usage","202"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_ClearCamps","usage","117"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","OBJ_ClearCamps","usage","186"
"campaign","scenarios\campaign\angevin\ang_chp3_lincoln\ang_chp3_lincoln.scar","OBJ_ClearCamps","usage","179"
"campaign","scenarios\campaign\angevin\ang_chp3_lincoln\obj_defeat.scar","OBJ_ClearCamps","definition","7"
"campaign","scenarios\campaign\hundred\hun_chp4_formigny\obj_captureformigny.scar","OBJ_ClearNormandy","usage","6"
"campaign","scenarios\campaign\hundred\hun_chp4_formigny\obj_clearnormandy.scar","OBJ_ClearNormandy","definition","3"
"campaign","scenarios\campaign\hundred\hun_chp4_formigny\obj_stopthem.scar","OBJ_ClearNormandy","usage","19"
"campaign","scenarios\campaign\hundred\hun_chp3_patay\hun_chp3_patay.scar","OBJ_ClearRegiments","usage","795"
"campaign","scenarios\campaign\hundred\hun_chp3_patay\obj_defeat_english.scar","OBJ_ClearRegiments","usage","102"
"campaign","scenarios\campaign\hundred\hun_chp3_patay\hun_chp3_patay.scar","OBJ_ClearRoad","usage","339"
"campaign","scenarios\campaign\hundred\hun_chp3_patay\obj_defeat_english.scar","OBJ_ClearRoad","definition","27"
"campaign","scenarios\campaign\hundred\hun_chp3_patay\hun_chp3_patay.scar","OBJ_ClearStSigmund","usage","377"
"campaign","scenarios\campaign\hundred\hun_chp3_patay\obj_defeat_english.scar","OBJ_ClearStSigmund","definition","50"
"campaign","scenarios\campaign\russia\gdm_chp4_kazan\gdm_chp4_kazan.scar","OBJ_ClearWestFord","usage","1657"
"campaign","scenarios\campaign\russia\gdm_chp4_kazan\obj_clearwestford.scar","OBJ_ClearWestFord","definition","7"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\gdm_chp2_tribute.scar","OBJ_CollectTaxes","usage","428"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\obj_buysettlements.scar","OBJ_CollectTaxes","usage","446"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\obj_collecttaxes.scar","OBJ_CollectTaxes","definition","10"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\obj_paythemongols.scar","OBJ_CollectTaxes","usage","236"
"campaign","scenarios\campaign\russia\gdm_chp2_tribute\training_tribute.scar","OBJ_CollectTaxes","usage","549"
"campaign","scenarios\campaign\hundred\hun_chp1_combat30\obj_combat.scar","OBJ_Combat1","definition","8"
"campaign","scenarios\campaign\hundred\hun_chp1_combat30\obj_preround.scar","OBJ_Combat1","usage","146"
"campaign","scenarios\campaign\hundred\hun_chp1_combat30\obj_combat.scar","OBJ_Combat2","usage","98"
"campaign","scenarios\campaign\salisbury\sal_chp1_valesdun\obj_archers.scar","OBJ_CommandArchers","definition","7"
"campaign","scenarios\campaign\salisbury\sal_chp1_valesdun\obj_locate.scar","OBJ_CommandArchers","usage","17"
"campaign","scenarios\campaign\salisbury\sal_chp1_valesdun\training_sal_chp1_valesdun.scar","OBJ_CommandArchers","usage","776"
"campaign","scenarios\campaign\salisbury\sal_chp1_valesdun\obj_horsemen.scar","OBJ_CommandHorsemen","definition","8"
"campaign","scenarios\campaign\salisbury\sal_chp1_valesdun\obj_muster.scar","OBJ_CommandHorsemen","usage","17"
"campaign","scenarios\campaign\salisbury\sal_chp1_valesdun\training_sal_chp1_valesdun.scar","OBJ_CommandHorsemen","usage","645"
"campaign","scenarios\campaign\salisbury\sal_chp2_womanswork\obj_grow.scar","OBJ_CommandOfficials","usage","17"
"campaign","scenarios\campaign\salisbury\sal_chp2_womanswork\obj_officials.scar","OBJ_CommandOfficials","definition","8"
"campaign","scenarios\campaign\russia\gdm_chp3_novgorod\gdm_chp3_novgorod.scar","OBJ_ConquerNovgorod","usage","307"
"campaign","scenarios\campaign\russia\gdm_chp3_novgorod\obj_destroy_novgorod.scar","OBJ_ConquerNovgorod","usage","14"
"campaign","scenarios\campaign\russia\gdm_chp3_novgorod\obj_getthroughnovgorod.scar","OBJ_ConquerNovgorod","definition","9"
"campaign","scenarios\historical_challenges\challenge_agincourt\challenge_agincourt_obj.scar","OBJ_Conqueror","definition","124"
"campaign","scenarios\historical_challenges\challenge_agincourt\challenge_agincourt_wave1.scar","OBJ_Conqueror","usage","555"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton_obj.scar","OBJ_Conqueror","definition","75"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton.scar","OBJ_Conqueror","usage","243"
"campaign","scenarios\historical_challenges\challenge_agincourt\challenge_agincourt_obj.scar","OBJ_ConquerorMedal","definition","64"
"campaign","scenarios\historical_challenges\challenge_montgisard\challenge_montgisard_objectives.scar","OBJ_ConquerorMedal","definition","102"
"campaign","scenarios\historical_challenges\challenge_montgisard\challenge_montgisard.scar","OBJ_ConquerorMedal","usage","1608"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton_obj.scar","OBJ_ConquerorMedal","definition","23"
"campaign","scenarios\historical_challenges\challenge_towton\challenge_towton.scar","OBJ_ConquerorMedal","usage","277"
"campaign","scenarios\historical_challenges\challenge_montgisard\challenge_montgisard_objectives.scar","OBJ_ConquerorMode","definition","155"
"campaign","scenarios\historical_challenges\challenge_montgisard\challenge_montgisard.scar","OBJ_ConquerorMode","usage","1718"
"campaign","scenarios\historical_challenges\challenge_montgisard\challenge_montgisard_objectives.scar","OBJ_ConquerorTip","definition","90"
"campaign","scenarios\campaign\russia\gdm_chp4_kazan\obj_securefort.scar","OBJ_Construct_Wall","usage","11"
"campaign","scenarios\cdn_challenge_missions\challenge_mission_walldefense\challenge_mission_walldefense.scar","OBJ_ConstructWonder","usage","494"
"campaign","scenarios\campaign\mongol\mon_chp3_xiangyang_1267\obj_xiangyang1_phase2.scar","OBJ_ContainFinalSally","usage","100"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_objectives.scar","OBJ_Control","definition","60"
